timestamp,pitch,roll,svm,gx,gy,gz,label
627435,81.0,48.77,1.48,-109.67,-48.01,36.08,Falling
627455,79.23,49.66,1.49,-106.45,-47.74,-5.75,Falling
627475,77.12,50.76,1.49,-97.86,-56.28,-40.52,Falling
627495,74.93,51.9,1.48,-92.08,-69.16,-64.09,Falling
627515,72.6,52.96,1.45,-91.29,-78.55,-83.39,Falling
627535,70.06,53.95,1.38,-91.49,-88.68,-97.17,Falling
627555,67.36,54.87,1.28,-92.8,-97.34,-99.92,Falling
627575,64.68,55.68,1.16,-95.79,-98.98,-97.02,Falling
627595,62.11,56.47,1.06,-99.72,-97.47,-92.65,Falling
627615,59.58,57.26,0.99,-102.74,-96.23,-85.89,Falling
627635,57.26,58.1,0.95,-102.77,-91.86,-76.62,Falling
627655,55.37,59.08,0.92,-100.33,-76.6,-63.13,Falling
627675,53.9,60.28,0.93,-90.85,-55.6,-43.32,Falling
627695,51.86,61.86,0.93,-70.94,-82.02,-26.77,Falling
627715,49.54,63.81,0.95,-49.44,-103.45,-20.91,Falling
627735,47.15,66.01,0.97,-33.63,-114.0,-20.87,Falling
627755,45.2,68.34,0.99,-22.47,-102.22,-20.1,Falling
627775,43.9,70.82,1.01,-10.52,-78.8,-20.78,Falling
627795,43.12,73.45,1.02,-3.13,-55.0,-26.19,Falling
627815,42.19,76.11,1.02,2.99,-63.86,-41.48,Falling
627835,41.49,78.91,1.02,16.4,-58.23,-53.32,Falling
627855,41.54,82.06,1.02,40.87,-32.73,-55.44,Falling
627875,42.36,85.62,1.0,66.91,8.1,-56.89,Falling
627895,43.55,89.45,0.99,86.08,26.5,-56.9,Falling
627915,45.33,93.21,0.96,98.6,53.76,-54.44,Falling
627935,47.7,96.96,0.94,103.62,86.83,-45.64,Falling
627955,50.49,100.52,0.95,101.63,111.12,-30.97,Falling
627975,53.5,103.98,0.97,100.14,126.21,-25.27,Falling
627995,56.67,107.43,0.99,100.92,139.62,-29.08,Falling
628015,59.94,111.01,1.02,101.27,148.77,-31.97,Falling
628035,62.36,114.5,1.04,98.37,120.89,-33.99,Falling
628055,64.04,117.63,1.05,90.77,86.1,-34.0,Falling
628075,65.1,120.62,1.05,83.67,57.99,-33.07,Falling
628095,65.55,123.45,1.05,80.33,31.71,-29.81,Falling
628115,65.42,126.09,1.04,81.06,5.43,-22.59,Falling
628135,65.0,128.75,1.04,84.67,-10.17,-15.66,Falling
628155,64.52,131.38,1.03,90.03,-14.75,-12.55,Falling
628175,64.0,133.94,1.01,91.81,-17.19,-13.58,Falling
628195,63.43,136.31,0.99,91.16,-18.35,-15.54,Falling
628215,63.19,138.57,0.96,89.92,-10.76,-14.21,Falling
628235,62.95,140.81,0.92,88.2,-4.55,-11.99,Falling
628255,62.82,142.88,0.87,84.13,1.25,-6.92,Falling
628275,62.62,144.77,0.82,78.75,1.44,4.5,Falling
628295,62.4,146.46,0.77,75.51,0.48,22.98,Falling
628315,61.96,148.21,0.74,70.85,-6.23,41.22,Falling
628335,61.47,149.88,0.73,63.96,-17.6,50.77,Falling
628355,60.92,151.36,0.72,54.67,-26.33,51.81,Falling
628375,60.19,152.55,0.72,46.64,-34.98,54.61,Falling
628395,59.51,153.59,0.74,37.91,-33.44,62.63,Falling
628415,58.89,154.37,0.77,28.35,-35.34,73.52,Falling
628435,57.26,154.93,0.82,25.94,-67.16,76.42,Falling
628455,55.1,155.52,0.87,22.64,-110.85,76.75,Falling
628475,53.23,155.87,0.91,18.67,-103.42,80.66,Falling
628495,51.29,156.1,0.97,18.14,-104.9,90.52,Falling
628515,49.51,156.29,1.06,21.96,-100.82,106.02,Falling
628535,47.15,156.58,1.13,38.39,-122.71,107.2,Falling
628555,44.02,157.36,1.14,60.11,-172.46,96.78,Falling
628575,42.16,158.06,1.13,56.99,-117.66,67.83,Falling
628595,41.21,158.27,1.13,48.15,-71.25,43.1,Falling
628615,40.45,158.14,1.12,34.44,-59.39,34.64,Falling
628635,40.04,157.84,1.1,13.35,-43.13,31.83,Falling
628655,39.7,157.06,1.08,-1.05,-39.54,37.25,Falling
628675,39.12,156.35,1.05,4.75,-44.07,41.28,Falling
628695,38.69,155.83,1.04,9.13,-38.57,48.74,Falling
628715,38.85,155.24,1.04,7.13,-16.77,56.68,Falling
628735,39.39,154.47,1.06,1.89,8.02,61.91,Falling
628755,40.45,153.58,1.09,-10.03,36.34,64.55,Falling
628775,42.06,152.54,1.11,-24.83,64.0,61.03,Falling
628795,43.81,151.31,1.13,-38.3,73.81,55.71,Falling
628815,45.21,149.89,1.13,-47.18,61.58,51.6,Falling
628835,46.21,148.44,1.11,-53.81,44.36,52.5,Falling
628855,46.89,146.91,1.07,-61.18,29.15,56.18,Falling
628875,47.56,145.35,1.04,-67.34,30.3,63.44,Falling
628895,48.63,143.81,1.0,-68.85,42.35,68.73,Falling
628915,49.91,142.33,0.97,-66.48,59.74,70.47,Falling
628935,50.84,140.86,0.96,-60.5,50.77,70.95,Falling
628955,51.31,139.5,0.95,-54.19,37.82,70.97,Falling
