timestamp,pitch,roll,svm,gx,gy,gz,label
90494,-0.47,5.76,1.02,-3.25,-0.74,0.29,Falling
90514,-0.68,5.48,1.04,-10.7,-4.65,0.85,Falling
90534,-0.82,5.26,1.07,-10.38,-6.63,-1.25,Falling
90554,-0.83,5.35,1.13,-3.26,-4.49,-6.34,Falling
90574,-0.77,5.78,1.18,14.87,-2.58,-10.19,Falling
90594,-0.7,6.39,1.21,26.88,-2.36,-8.75,Falling
90614,-0.84,7.02,1.21,30.34,-6.5,-3.45,Falling
90634,-1.2,7.62,1.18,31.27,-16.82,2.12,Falling
90654,-1.65,8.26,1.14,33.28,-24.07,2.07,Falling
90674,-2.13,8.98,1.08,36.84,-25.33,1.1,Falling
90694,-2.58,9.69,1.02,39.17,-24.61,-0.4,Falling
90714,-3.04,10.36,0.97,38.61,-24.8,-2.71,Falling
90734,-3.55,10.95,0.93,36.11,-25.62,-5.4,Falling
90754,-4.09,11.44,0.91,32.0,-27.17,-8.13,Falling
90774,-4.62,11.92,0.9,28.97,-28.83,-11.08,Falling
90794,-5.15,12.41,0.89,28.06,-30.05,-13.28,Falling
90814,-5.67,12.87,0.89,26.93,-30.95,-12.75,Falling
90834,-6.2,13.23,0.9,24.88,-32.37,-8.96,Falling
90854,-6.91,13.54,0.91,24.02,-38.72,-2.32,Falling
90874,-7.76,13.81,0.91,22.94,-47.64,-1.12,Falling
90894,-8.58,14.06,0.9,21.79,-48.48,-1.32,Falling
90914,-9.25,14.33,0.9,21.03,-45.12,-0.09,Falling
90934,-9.78,14.55,0.9,20.45,-39.43,3.86,Falling
90954,-10.35,14.86,0.9,22.59,-40.89,9.7,Falling
90974,-11.07,15.17,0.9,24.7,-44.73,10.43,Falling
90994,-11.72,15.46,0.9,24.66,-44.91,10.28,Falling
91014,-12.22,15.76,0.89,25.5,-42.19,11.9,Falling
91034,-12.59,16.08,0.89,26.45,-36.49,15.1,Falling
91054,-12.85,16.32,0.88,25.02,-29.34,19.32,Falling
91074,-12.97,16.45,0.88,21.26,-21.42,26.68,Falling
91094,-12.98,16.45,0.88,15.21,-14.61,34.87,Falling
91114,-12.91,16.38,0.88,10.38,-9.09,37.82,Falling
91134,-12.7,16.4,0.89,12.04,-2.72,37.22,Falling
91154,-12.43,16.59,0.9,16.14,2.11,39.29,Falling
91174,-12.15,16.89,0.9,20.71,7.32,43.73,Falling
91194,-11.91,17.18,0.89,19.9,11.37,50.12,Falling
91214,-11.84,17.34,0.88,15.65,11.26,58.51,Falling
91234,-11.92,17.36,0.86,8.22,11.55,64.95,Falling
91254,-12.08,17.37,0.83,2.86,13.03,65.04,Falling
91274,-12.24,17.32,0.79,-4.36,17.57,63.24,Falling
91294,-12.15,17.16,0.78,-20.97,29.98,60.8,Falling
91314,-11.93,16.8,0.8,-35.94,40.1,61.71,Falling
91334,-11.63,16.33,0.84,-41.1,46.31,61.46,Falling
91354,-11.25,15.54,0.93,-54.33,50.17,63.18,Falling
91374,-11.02,13.8,1.07,-92.03,44.58,74.27,Falling
91394,-11.07,11.55,1.27,-114.63,31.32,85.86,Falling
91414,-11.31,9.99,1.48,-85.31,22.34,57.03,Falling
91434,-11.41,9.75,1.66,-40.88,29.22,3.54,Falling
91454,-11.24,10.47,1.78,-4.63,39.06,-30.4,Falling
