timestamp,pitch,roll,svm,gx,gy,gz,label
1177740,0.46,1.3,0.98,-0.46,1.13,-1.93,Normal
1177760,0.46,1.3,0.98,-0.46,1.13,-1.93,Normal
1177780,0.46,1.29,0.98,-0.46,1.13,-1.93,Normal
1177800,0.46,1.29,0.98,-0.46,1.13,-1.93,Normal
1177820,0.45,1.29,0.98,-0.46,1.13,-1.93,Normal
1177840,0.45,1.29,0.98,-0.46,1.13,-1.93,Normal
1177860,0.45,1.28,0.98,-0.46,1.13,-1.93,Normal
1177880,0.45,1.29,0.98,-0.46,1.13,-1.93,Normal
1177900,0.45,1.28,0.98,-0.46,1.13,-1.93,Normal
1177920,0.45,1.28,0.98,-0.46,1.13,-1.93,Normal
1177940,0.45,1.28,0.98,-0.46,1.13,-1.93,Normal
1177960,0.45,1.28,0.98,-0.46,1.13,-1.93,Normal
1177980,0.45,1.28,0.98,-0.46,1.13,-1.93,Normal
1178000,0.44,1.28,0.98,-0.46,1.13,-1.93,Normal
1178020,0.44,1.29,0.98,-0.46,1.13,-1.93,Normal
1178040,0.44,1.29,0.98,-0.46,1.13,-1.93,Normal
1178060,0.44,1.3,0.98,-0.46,1.13,-1.93,Normal
1178080,0.44,1.3,0.98,-0.46,1.13,-1.93,Normal
1178100,0.45,1.3,0.98,-0.46,1.13,-1.93,Normal
1178120,0.45,1.31,0.98,-0.46,1.13,-1.93,Normal
1178140,0.45,1.31,0.98,-0.46,1.13,-1.93,Normal
1178160,0.45,1.31,0.98,-0.46,1.13,-1.93,Normal
1178180,0.45,1.3,0.98,-0.46,1.13,-1.93,Normal
1178200,0.46,1.29,0.98,-0.46,1.13,-1.93,Normal
1178220,0.47,1.29,0.98,-0.46,1.13,-1.93,Normal
1178240,0.46,1.29,0.98,-0.46,1.13,-1.93,Normal
1178260,0.46,1.29,0.98,-0.46,1.13,-1.93,Normal
1178280,0.46,1.29,0.98,-0.46,1.13,-1.93,Normal
1178300,0.46,1.29,0.98,-0.46,1.13,-1.93,Normal
1178320,0.46,1.28,0.98,-0.46,1.13,-1.93,Normal
1178340,0.46,1.28,0.98,-0.46,1.13,-1.93,Normal
1178360,0.46,1.29,0.98,-0.46,1.13,-1.93,Normal
1178380,0.46,1.28,0.98,-0.46,1.13,-1.93,Normal
1178400,0.46,1.29,0.98,-0.46,1.13,-1.93,Normal
1178420,0.45,1.29,0.98,-0.46,1.13,-1.93,Normal
1178440,0.44,1.28,0.98,-0.46,1.13,-1.93,Normal
1178460,0.43,1.28,0.98,-0.46,1.13,-1.93,Normal
1178480,0.44,1.28,0.98,-0.46,1.13,-1.93,Normal
1178500,0.44,1.28,0.98,-0.46,1.13,-1.93,Normal
1178520,0.44,1.28,0.98,-0.46,1.13,-1.93,Normal
1178540,0.44,1.28,0.98,-0.46,1.13,-1.93,Normal
1178560,0.43,1.28,0.98,-0.46,1.13,-1.93,Normal
1178580,0.44,1.28,0.98,-0.46,1.13,-1.93,Normal
1178600,0.44,1.28,0.98,-0.46,1.13,-1.92,Normal
1178620,0.44,1.28,0.98,-0.46,1.13,-1.92,Normal
1178640,0.43,1.28,0.98,-0.46,1.13,-1.92,Normal
1178660,0.43,1.28,0.98,-0.46,1.13,-1.92,Normal
1178680,0.42,1.28,0.98,-0.46,1.13,-1.92,Normal
1178700,0.42,1.28,0.98,-0.46,1.13,-1.92,Normal
1178720,0.42,1.29,0.98,-0.46,1.13,-1.92,Normal
1178740,0.42,1.27,0.98,-0.46,1.13,-1.92,Normal
1178760,0.42,1.27,0.98,-0.46,1.13,-1.92,Normal
1178780,0.42,1.26,0.98,-0.46,1.13,-1.92,Normal
1178800,0.42,1.26,0.98,-0.46,1.13,-1.92,Normal
1178820,0.43,1.27,0.98,-0.46,1.13,-1.92,Normal
1178840,0.43,1.26,0.98,-0.46,1.13,-1.92,Normal
1178860,0.44,1.26,0.98,-0.46,1.13,-1.92,Normal
1178880,0.43,1.26,0.98,-0.46,1.13,-1.92,Normal
1178900,0.43,1.27,0.98,-0.46,1.13,-1.92,Normal
1178920,0.43,1.27,0.98,-0.46,1.13,-1.92,Normal
1178940,0.44,1.27,0.98,-0.46,1.13,-1.92,Normal
1178960,0.44,1.28,0.98,-0.46,1.13,-1.92,Normal
1178980,0.43,1.28,0.98,-0.46,1.13,-1.92,Normal
